Județ,Nume Unități,Latitude,Longitude,Tip
Alba,"Școala Gimnazială ""Avram Iancu"" Alba Iulia, din mun. Alba Iulia, județul Alba",460.623.309,23.578.772,Școală Gimnazială
Alba,"Școala Gimnazială ""Axente Sever"" Aiud, județul Alba",463.087.347,237.296.554,Școală Gimnazială
Alba,"Școală Gimnazială ""Mihai Eminescu"" Alba Iulia, Județul Alba",46.075.334,235.600.589,Școală Gimnazială
Alba,"Liceul Tehnologic Sebeș, Județul Alba",459.573.864,235.649.436,Liceul
Arad,"Colegiul ""Csiky Gergely” Arad, județul Arad",461.711.839,213.068.682,Colegiu
Argeş,"Grădinița cu program prelungit ""Academia Piticilor"" structura nr.2, judeţul Argeş",450.722.527,248.142.726,Gradiniță
Argeș,"Colegiul Tehnic ""Costin D. Nenițescu"" Pitești, localitatea Pitești, județul Argeș",448.315.726,249.098.092,Colegiu
Argeș,"Școala Gimnazială ""Adrian Păunescu"", din mun.Pitești, județul Argeș",448.723.247,248.395.944,Școală Gimnazială
Argeș,"Liceul Tehnologic ""Regele Mihai I"" Curtea de Argeș, din localitatea Curtea de Argeș, județul Argeș",45.153.452,246.760.829,Liceu Tehnologic
Argeș,"Grădinița cu program prelungit ""Campionii"", Mioveni, Argeș",448.927.436,248.224.607,Grădinița
Argeș,"Școala Gimnazială Nr.1 Vulturești, Argeș",450.717.448,250.832.134,Școală Gimnazială
Argeș,"Școala Gimnazială Nr. 1 Poienarii de Muscel, Argeș",452.337.584,250.807.909,Școală Gimnazială
Bacău,"Școala Gimnazială ""Mihail Sadoveanu"", județul Bacău",465.818.124,269.057.653,Școală Gimnazială
Bacău,"Centrul Școlar de Educație Incluzivă Nr. 1 Bacău, localitatea Bacău, județul Bacău",465.338.083,269.159.272,Centrul Școlar de Educație Incluzivă
Bacău,"Școala Gimnazială George Bacovia, Bacău",465.508.207,269.103.858,Școală Gimnazială
Bacău,"Școala ""Domnița Maria"", județul Bacău",465.436.032,269.144.571,Școală
Bacău,"Şcoala Gimnazială ""Nicolae Iorga"" Bacău",46.538.779,26.919.882,Școală Gimnazială
Bacău,"Școala Nr. 10 Bacău, județul Bacău",465.504.404,269.149.881,Școală
Bacău,"Centrul Județean de Resurse și Asistență Educațională Bacău, județul Bacău",465.681.191,269.050.289,Centrul Județean de Resurse și Asistență Educațională
Bacău,"Colegiul Național ""Grigore Moisil"" Onești, județul Bacău",462.480.237,267.615.017,Colegiu Național
Bacău,"Școala Gimnazială ""Nicolae Bălcescu"", Comuna ""Nicolae Bălcescu"", județul Bacău",464.828.024,26.916.809,Școală Gimnazială
Bacău,"Școala Gimnazială ""Mihai Eminescu"", oraș Buhuși, județul Bacău",4.666.194.309.999.990,267.734.302,Școală Gimnazială
Bacău,"Liceul Tehnologic Târgu Ocna, din localitatea Târgu Ocna, județul Bacău",46.278.989,266.038.603,Liceu Tehnologic
Bacău,"Școala Gimnazială Horgești, Horgești"" Județul Bacău",464.369.288,270.698.744,Școală Gimnazială
Bihor,"Colegiul Național ""Octavian Goga"" din localitatea Marghita, județul Bihor",4.734.791.939.999.990,223.397.566,Colegiu Național
Bihor,"Școala Gimnazială ""Dimitrie Cantemir"" Oradea, județul Bihor",470.404.202,219.403.762,Școală Gimnazială
Bihor,"Liceul Teoretic Nr.1 Bratca, Bratca, Județul Bihor",469.270.638,226.012.973,Liceu Teoretic
Bihor,"Școală Gimnazială ""Oltea Doamna"", Județul Bihor",4.705.730.759.999.990,219.369.044,Școală Gimnazială
Bihor,"Centrul Școlar de Educație Incluzivă nr.1 din localitatea Oradea, județul Bihor",470.640.602,219.286.473,Centrul Școlar de Educație Incluzivă
Botoșani,"Școala Gimnazială Nr. 10 Botoșani, din mun.Botoșani, județul Botoșani",477.373.371,266.657.254,Școală Gimnazială
Botoșani,"Școala Gimnazială Nr.1 Copălău, din localitatea Copălău, județul Botoșani",476.171.756,268.503.982,Școală Gimnazială
Botoșani,"Școala Gimnazială ""Leon Dănăilă"" Darabani, din localitatea Darabani, județul Botoșani",48.188.609,265.892.803,Școală Gimnazială
Botoşani,"Școala Gimnazială ""Spiru-Haret"", localitatea Dorohoi, județul Botoşani",479.513.291,263.920.195,Școală Gimnazială
Botoșani,"Colegiul Național ""Mihai Eminescu"", Botoșani, județul Botoșani",477.433.574,266.489.086,Colegiu Național
Botoșani,"Liceul Tehnologic Bucecea, localitatea Bucecea, județul Botoșani",477.722.407,264.371.493,Liceu Tehnologic
Botoșani,"Școala Profesională Specială ""Sf.Stelian"", din mun. Botoșani, județul Botoșani",477.343.891,266.618.406,Școală Profesională Specială
Brașov,"Școala Gimnazială Crizbav, GPN structura Cutuș, județul Brașov",458.146.715,254.645.464,Școală Gimnazială
Brașov,"Colegiul Național de Informatică ""Grigore Moisil"" Brașov, județul Brașov",456.444.625,25.625.122,Colegiu Național de Informatică
Brașov,"Școala Gimnazială Prejmer, din localitatea Prejmer, județul Brașov",457.218.993,257.725.833,Școală Gimnazială
Brașov,"Școala Gimnazială Nr. 3 Codlea, județul Brașov",4.563.792.309.999.990,254.172.413,Școală Gimnazială
Brașov,"Școala Gimnazială nr 3 Râșnov, din localitatea Râșnov, județul Brașov",455.868.945,25.456.046,Școală Gimnazială
Brăila,"Școala Gimnazială ""Nikos Kazantzakis"", mun. Brăila, județul Brăila",452.699.951,27.977.589,Școală Gimnazială
Brăila,"Școala Gimnazială ""Ion Creanga"", din mun. Brăila, județul Brăila",452.680.091,279.697.499,Școală Gimnazială
Brăila,"Școala Gimnazială ""Ion Băncilă"", localitatea Brăila, județul Brăila",452.664.265,279.604.358,Școală Gimnazială
București,"Colegiul Național ""Gheorghe Șincai"" București, București",444.143.627,261.050.408,Colegiu Național
București,"Colegiul Național ""Mihai Viteazul"" București, București",444.394.141,261.251.258,Colegiu Național
București,"Școala Gimnazială nr 168, Sector 6, București",444.513.693,26.057.677,Școală Gimnazială
București,"Grădinița Nr.111, București, Sector 6",4.442.315.929.999.990,260.464.349,Grădinița
București,"Liceul Tehnologic ""Sfântul Antim Ivireanu"", București, Sector 6",44.424.346,260.289.612,Liceu Tehnologic
București,"Grădinița ""Spiridușii"", București, Sectorul 6",444.166.763,260.325.411,Grădinița
București,"Școala Gimnazială Nr. 112, din mun. București, Sectorul 3",444.138.463,261.664.878,Școală Gimnazială
București,"Școala Gimnazială nr. 79, mun. București, Sector 4",444.229.771,261.062.992,Școală Gimnazială
București,"Liceul Teoretic Hyperion, sector 3, București",444.283.735,261.375.975,Liceu Teoretic
București,"Școala Primară Conil, București",444.107.366,260.281.494,Școală Primară
București,"Colegiul Național Gheorghe Șincai, București",444.142.473,261.036.877,Colegiu Național
București,"Școala Gimnazială ""Cezar Bolliac"", București",444.289.803,261.376.437,Școală Gimnazială
București,"Școala Gimnazială nr 86, București",444.231.915,261.478.977,Școală Gimnazială
București,"Școala Gimnazială ""Ion Heliade Rădulescu"" București",444.552.333,260.836.501,Școală Gimnazială
București,"Școala ""Gimnazială General Eremia Grigorescu"", București",443.807.159,2.613.715,Școală Gimnazială
București,"Liceul Teoretic ""Benjamin Franklin"", sector 5, municipiul București",444.295.661,261.524.015,Liceu Teoretic
